City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Naron,ES,43.5167,-8.1528,56.59,83,1,7.67,clear sky
270,Saint-Joseph,RE,-21.3667,55.6167,71.98,81,86,5.14,overcast clouds
271,Lasa,IT,46.6166,10.7002,38.28,35,7,2.42,clear sky
272,Porto Novo,BJ,6.4965,2.6036,84.02,83,42,8.86,scattered clouds
273,Bandar,ID,2.05,99.75,71.53,99,100,1.12,moderate rain
274,Serra Negra,BR,-22.6122,-46.7006,75.51,87,53,9.44,broken clouds
275,Shimoda,JP,34.6667,138.95,43.02,95,100,18.77,moderate rain
276,Oudtshoorn,ZA,-33.5907,22.2014,64.76,74,3,4.16,clear sky
277,Castro,BR,-24.7911,-50.0119,66.07,80,5,6.24,clear sky
278,Chicama,PE,-7.8447,-79.1469,70.34,61,100,7.99,overcast clouds
279,Iracoubo,GF,5.4802,-53.2011,77.04,84,44,9.31,scattered clouds
280,Salalah,OM,17.0151,54.0924,66.88,31,0,9.78,clear sky
281,Cabo San Lucas,MX,22.8909,-109.9124,82.51,44,28,5.99,scattered clouds
282,Chokurdakh,RU,70.6333,147.9167,-29.81,99,93,10.58,overcast clouds
283,Nanortalik,GL,60.1432,-45.2371,19.94,69,91,5.32,overcast clouds
284,Ponta Delgada,PT,37.7333,-25.6667,60.49,77,20,10.36,few clouds
285,Shafranovo,RU,53.9667,54.7667,9.61,97,100,5.44,overcast clouds
286,Maniwaki,CA,46.3834,-75.966,32.38,64,100,10.36,snow
287,Kaeo,NZ,-35.1,173.7833,77.32,86,98,7.67,overcast clouds
288,Akdepe,TM,42.0551,59.3788,30.29,73,6,10.29,clear sky
289,Caravelas,BR,-17.7125,-39.2481,78.21,83,4,7.61,clear sky
290,Lianran,CN,24.9227,102.485,39.74,68,3,2.84,clear sky
291,Isla Vista,US,34.4133,-119.861,88.92,20,0,3.0,clear sky
292,Campbell River,CA,50.0163,-125.2446,45.32,100,100,5.75,light intensity drizzle
293,Peleduy,RU,59.6289,112.7406,-15.84,99,99,2.57,overcast clouds
294,Kondinskoye,RU,59.6481,67.41,-0.15,97,46,8.68,scattered clouds
295,Mareeba,AU,-17.0,145.4333,74.44,86,8,0.89,clear sky
296,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,93,100,12.12,overcast clouds
297,Zhetysay,KZ,40.7333,68.3,38.88,54,85,6.11,overcast clouds
298,Ostrovnoy,RU,68.0531,39.5131,22.95,87,75,18.37,broken clouds
299,Portland,US,45.5234,-122.6762,60.64,68,100,3.0,overcast clouds
300,Palenque,MX,17.5167,-91.9667,69.96,83,100,3.44,overcast clouds
301,Pevek,RU,69.7008,170.3133,-32.76,100,100,5.26,overcast clouds
302,Dicabisagan,PH,17.0818,122.4157,73.15,88,88,3.4,overcast clouds
303,Suntar,RU,62.1444,117.6319,-22.45,100,100,1.54,overcast clouds
304,Katherine,AU,-14.4667,132.2667,75.52,88,64,5.75,broken clouds
305,Ruidoso,US,33.3317,-105.673,54.63,12,0,16.11,clear sky
306,Noumea,NC,-22.2763,166.4572,82.0,99,100,19.06,moderate rain
307,Puerto Del Rosario,ES,28.5004,-13.8627,73.08,68,86,6.91,overcast clouds
308,Nakhon Phanom,TH,17.3333,104.4167,63.68,88,39,5.23,scattered clouds
309,Jaysingpur,IN,16.779,74.5564,67.32,45,2,6.96,clear sky
310,Kloulklubed,PW,7.0419,134.2556,77.5,78,100,11.65,overcast clouds
311,Rabaul,PG,-4.1967,152.1721,81.68,75,94,2.37,overcast clouds
312,Sangar,RU,63.9242,127.4739,-34.56,100,100,2.37,overcast clouds
313,Canchungo,GW,12.0672,-16.0333,78.93,66,15,5.21,few clouds
314,Abu Samrah,SY,35.3029,37.1841,46.94,82,96,12.3,overcast clouds
315,Cape Coast,GH,5.1053,-1.2466,79.39,86,9,8.3,clear sky
316,Grindavik,IS,63.8424,-22.4338,25.27,68,75,13.8,broken clouds
317,Santa Marta,CO,11.2408,-74.199,93.34,58,20,4.61,few clouds
318,Shubarkuduk,KZ,49.1447,56.4872,13.05,92,100,11.18,overcast clouds
319,Greiz,DE,50.65,12.2,46.62,85,100,1.01,overcast clouds
320,Gweta,BW,-20.1833,25.2333,75.9,58,10,8.5,clear sky
321,Kaitangata,NZ,-46.2817,169.8464,60.55,97,100,4.27,overcast clouds
322,Ulladulla,AU,-35.35,150.4667,79.88,44,4,2.51,clear sky
323,Waslala,NI,13.2333,-85.3833,88.14,33,16,7.81,few clouds
324,Zhicheng,CN,30.2956,111.5047,36.46,91,7,0.81,clear sky
325,Pavlodar,KZ,52.3,76.95,-13.2,84,0,13.42,clear sky
326,Adre,TD,13.4667,22.2,64.35,12,4,12.75,clear sky
327,Mana,GF,5.6592,-53.7767,77.63,79,69,7.96,broken clouds
328,Salina Cruz,MX,16.1667,-95.2,79.05,52,29,25.75,scattered clouds
329,Atambua,ID,-9.1061,124.8925,74.32,89,100,1.83,overcast clouds
330,At-Bashi,KG,41.1702,75.8106,0.86,86,87,2.48,overcast clouds
331,Beringovskiy,RU,63.05,179.3167,-19.26,87,7,6.87,clear sky
332,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,76.64,95,98,1.19,light rain
333,Ayagoz,KZ,47.9714,80.4392,2.25,95,100,5.91,overcast clouds
334,Beloha,MG,-25.1667,45.05,72.19,89,0,4.07,clear sky
335,Tura,IN,25.5198,90.2201,56.03,66,6,2.93,clear sky
336,Ninotsminda,GE,41.2646,43.5916,23.45,94,94,7.0,overcast clouds
337,Calbuco,CL,-41.768,-73.1273,69.01,68,100,13.82,overcast clouds
338,Luanda,AO,-8.8368,13.2343,77.0,83,75,5.75,broken clouds
339,Sumbe,AO,-11.2061,13.8437,76.12,79,100,7.63,overcast clouds
340,Oranjemund,NA,-28.55,16.4333,64.11,88,0,10.47,clear sky
341,Delta Del Tigre,UY,-34.7633,-56.3853,75.61,57,20,13.8,few clouds
342,Mizque,BO,-17.941,-65.3402,65.62,69,99,6.89,overcast clouds
343,Salamiyah,SY,35.0113,37.0532,46.04,85,99,16.11,overcast clouds
