City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
507,Luba,GQ,81.34,broken clouds,3.4568,8.5547,
508,Edea,CM,76.93,broken clouds,3.8,10.1333,Micotel Hotel
513,San Jose,US,77.74,broken clouds,37.3394,-121.895,The Westin San Jose
514,Golfito,CR,81.45,light rain,8.639,-83.166,Banana Bay Marina
515,Les Cayes,HT,78.84,few clouds,18.2,-73.75,Villa Orphee
516,Oeiras Do Para,BR,75.15,broken clouds,-2.0031,-49.8544,Araticu Soft Hotel
520,Kieta,PG,83.26,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
521,Barreirinhas,BR,77.41,broken clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
522,Contamana,PE,79.47,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
528,Moreira Sales,BR,77.02,overcast clouds,-24.0622,-53.0069,Casa Cristo Rei
532,Ahipara,NZ,76.1,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
533,Rabak,SD,76.86,clear sky,13.1809,32.74,فندق ربك Rabak Hotel
534,Dapaong,TG,80.85,few clouds,10.8639,0.205,Hotel Caroli
540,Rio Cuarto,AR,83.68,clear sky,-33.1307,-64.3499,Grand Hotel Río Cuarto
544,Udupi,IN,76.24,clear sky,13.35,74.75,Hotel Sri Krishna Residency
546,Isangel,VU,78.76,heavy intensity rain,-19.55,169.2667,Tanna Lodge
550,Alyangula,AU,83.32,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
551,Sabla,NG,75.43,clear sky,12.7525,4.7077,
552,Orange Cove,US,75.29,broken clouds,36.6244,-119.3137,
554,Oranjestad,AW,79.12,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
559,Sorong,ID,78.17,light rain,-0.8833,131.25,Waigo Splash Hotel
560,Ca Mau,VN,76.84,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
564,Villarrica,PY,82.13,clear sky,-25.75,-56.4333,Mansión Reljuv Tours SA
567,Iralaya,HN,79.63,few clouds,15.0,-83.2333,Iglesia morava renovada
569,Nioro,GM,83.61,broken clouds,13.35,-15.75,
573,Bowen,AU,77.49,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
574,Boca Do Acre,BR,78.17,scattered clouds,-8.7522,-67.3978,Hotel Sao Pedro
576,Bage,BR,80.38,clear sky,-31.3314,-54.1069,Hotel Obino - Bagé
578,Sao Gabriel Da Cachoeira,BR,78.55,light rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
582,Vanimo,PG,78.46,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
583,Manta,EC,77.95,overcast clouds,-0.95,-80.7333,Balandra Hotel
584,Bonthe,SL,77.88,clear sky,7.5264,-12.505,Bonthe Holiday Village
590,Usmajac,MX,77.68,clear sky,19.8667,-103.5667,Gran Casa Sayula Hotel Galeria And Spa
592,Ewa Beach,US,81.01,clear sky,21.3156,-158.0072,Uncle Junior Robert
595,Praia,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
596,Yurimaguas,PE,77.72,overcast clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
598,Banjarmasin,ID,75.34,light rain,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
606,Tual,ID,81.36,light rain,-5.6667,132.75,Grand Vilia Hotel
610,Ndioum,SN,82.06,few clouds,16.5129,-14.6471,l'hôtel samassa
611,Vangaindrano,MG,75.49,light rain,-23.35,47.6,Hotel Fanilo
613,Hobyo,SO,76.03,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
615,Santa Maria,BR,79.07,clear sky,-29.6842,-53.8069,Hotel Morotin
619,Biak,ID,76.78,overcast clouds,-0.9131,122.8766,Penginapan Kim
621,Campo Grande,BR,83.75,clear sky,-20.4428,-54.6464,Hotel Harbor Self Buriti Suítes Campo Grande
622,Luganville,VU,83.19,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
626,La Asuncion,VE,77.76,few clouds,11.0333,-63.8628,Colinas de Matasiete
627,Piste,MX,75.13,overcast clouds,20.7,-88.5833,Hotel Villas Arqueologicas Chichen Itza
628,Bac Lieu,VN,77.94,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
630,Flinders,AU,82.38,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
638,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
642,Neiafu,TO,75.88,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
645,Carutapera,BR,75.99,broken clouds,-1.195,-46.02,Lidera
647,Nouakchott,MR,76.15,clear sky,18.0858,-15.9785,HOTEL IMAN
650,Muisne,EC,77.65,light rain,0.6,-80.0333,Quinta Samay
653,Chacabuco,AR,81.81,clear sky,-34.6417,-60.4739,Club de Pesca Caza y Balneario
654,Labuhan,ID,77.34,overcast clouds,-6.8844,112.2051,DoubleFAG
